date,distance_km,duration_min,avg_hr,activity_type,title,description
17/04/2026,8.67,39.22,,run,WU 6x800 CD,
16/04/2026,12.24,54.77,,run,Steasy Prog,
15/04/2026,9.69,40.73,,run,WU 4M tempo CD,Blowy
14/04/2026,1.61,8,,run,Easy mile with Hannah,
14/04/2026,4.77,19.77,,run,Quick trot,
13/04/2026,4.64,21.02,,run,20 min shakeout with Ben,
11/04/2026,5.85,21.42,,run,morning run,
10/04/2026,1.65,7.45,,run,CD,
10/04/2026,5,18.58,,run,Prog 5km steady to hard,
09/04/2026,1.69,7.55,,run,Easy run with Hannah,
09/04/2026,3.02,12.55,,run,Run before H session,
08/04/2026,9.26,46.9,,run,WU 10x400 * 90 CD,
07/04/2026,1.63,6.5,,run,short intervals,
06/04/2026,8.19,34.63,,run,Prog 5M,
06/04/2026,3.79,21.38,,run,20 min with Beth,
02/04/2026,4.27,19.03,,run,Evening run,
01/04/2026,6.45,28.37,,run,4M with Ben,
31/03/2026,8.04,32.87,,run,5M tempo,
30/03/2026,5,22.23,,run,Jog with Ben,
29/03/2026,12.87,62.68,,run,Swinley WSEH Social,
27/03/2026,5.58,27.33,,run,Easy Pootle,
26/03/2026,5.08,31.93,,run,5M Prog Tempo,
25/03/2026,6.43,30.95,,run,30 min Z2nooze,
24/03/2026,10.92,51.08,,run,WU 3x (1K / 5x 200) +CD,
23/03/2026,6.44,30.33,,run,Tri-Lakes trot with Ben,
