date,distance_km,duration_min,avg_hr,activity_type,workout_type
2026-01-05,10,50,144,run,easy
2026-01-06,12,54,156,run,threshold
2026-01-07,8,40,142,run,easy
2026-01-08,11,55,145,run,easy
2026-01-09,9,39,160,run,interval
2026-01-10,7,35,141,run,easy
2026-01-11,17,82,148,run,long
2026-01-12,10,50,144,run,easy
2026-01-13,13,58,157,run,threshold
2026-01-14,8,40,142,run,easy
2026-01-15,11,54,145,run,easy
2026-01-16,9,39,160,run,interval
2026-01-17,7,35,141,run,easy
2026-01-18,18,87,149,run,long
2026-01-19,9,45,143,run,easy
2026-01-20,12,54,156,run,threshold
2026-01-21,8,40,142,run,easy
2026-01-22,10,50,144,run,easy
2026-01-23,10,43,161,run,interval
2026-01-24,7,35,141,run,easy
2026-01-25,17,82,148,run,long
2026-01-26,10,50,144,run,easy
2026-01-27,12,54,156,run,threshold
2026-01-28,8,40,142,run,easy
2026-01-29,11,55,145,run,easy
2026-01-30,9,39,160,run,interval
2026-01-31,8,39,142,run,easy
2026-02-01,18,87,149,run,long
2026-02-02,10,50,144,run,easy
2026-02-03,13,58,157,run,threshold
2026-02-04,8,40,142,run,easy
2026-02-05,11,55,145,run,easy
2026-02-06,9,39,160,run,interval
2026-02-07,7,35,141,run,easy
2026-02-08,18,87,149,run,long
2026-02-09,9,45,143,run,easy
2026-02-10,12,54,156,run,threshold
2026-02-11,8,40,142,run,easy
2026-02-12,11,55,145,run,easy
2026-02-13,10,43,161,run,interval
2026-02-14,7,35,141,run,easy
2026-02-15,19,92,150,run,long
2026-02-16,10,50,144,run,easy
2026-02-17,12,54,156,run,threshold
2026-02-18,8,40,142,run,easy
2026-02-19,11,55,145,run,easy
2026-02-20,9,39,160,run,interval
2026-02-21,7,35,141,run,easy
2026-02-22,18,87,149,run,long
2026-02-23,10,50,144,run,easy
2026-02-24,13,58,157,run,threshold
2026-02-25,8,40,142,run,easy
2026-02-26,11,55,145,run,easy
2026-02-27,9,39,160,run,interval
2026-02-28,8,39,142,run,easy
2026-03-01,19,92,150,run,long
