date,distance_km,duration_min,avg_hr,activity_type,workout_type
2026-01-05,10,51,144,run,easy
2026-01-06,12,60,147,run,easy
2026-01-07,8,41,142,run,easy
2026-01-08,11,56,145,run,easy
2026-01-09,9,46,143,run,easy
2026-01-10,7,35,140,run,easy
2026-01-11,17,84,148,run,long
2026-01-12,10,51,144,run,easy
2026-01-13,12,60,147,run,easy
2026-01-14,8,41,142,run,easy
2026-01-15,11,56,145,run,easy
2026-01-16,9,46,143,run,easy
2026-01-17,7,35,140,run,easy
2026-01-18,18,89,149,run,long
2026-01-19,9,46,143,run,easy
2026-01-20,12,60,147,run,easy
2026-01-21,8,41,142,run,easy
2026-01-22,11,56,145,run,easy
2026-01-23,10,51,144,run,easy
2026-01-24,7,35,140,run,easy
2026-01-25,17,84,148,run,long
2026-01-26,10,51,144,run,easy
2026-01-27,11,56,145,run,easy
2026-01-28,8,41,142,run,easy
2026-01-29,12,60,147,run,easy
2026-01-30,9,46,143,run,easy
2026-01-31,7,35,140,run,easy
2026-02-01,18,89,149,run,long
2026-02-02,10,51,144,run,easy
2026-02-03,12,60,147,run,easy
2026-02-04,8,41,142,run,easy
2026-02-05,11,56,145,run,easy
2026-02-06,9,46,143,run,easy
2026-02-07,7,35,140,run,easy
2026-02-08,17,84,148,run,long
2026-02-09,10,51,144,run,easy
2026-02-10,12,60,147,run,easy
2026-02-11,8,41,142,run,easy
2026-02-12,11,56,145,run,easy
2026-02-13,9,46,143,run,easy
2026-02-14,7,35,140,run,easy
2026-02-15,18,89,149,run,long
2026-02-16,9,46,143,run,easy
2026-02-17,12,60,147,run,easy
2026-02-18,8,41,142,run,easy
2026-02-19,11,56,145,run,easy
2026-02-20,10,51,144,run,easy
2026-02-21,7,35,140,run,easy
2026-02-22,17,84,148,run,long
2026-02-23,10,51,144,run,easy
2026-02-24,11,56,145,run,easy
2026-02-25,8,41,142,run,easy
2026-02-26,12,60,147,run,easy
2026-02-27,9,46,143,run,easy
2026-02-28,7,35,140,run,easy
2026-03-01,18,89,149,run,long
