date,distance_km,duration_min,avg_hr,activity_type,workout_type
2026-01-05,10.0,48,145,run,easy
2026-01-06,10.0,48,145,run,easy
2026-01-07,10,48,145,run,threshold
2026-01-08,10.0,48,145,run,easy
2026-01-09,10.0,48,145,run,easy
2026-01-10,18,86,145,run,long run
2026-01-12,10.5,50,145,run,easy
2026-01-13,10.5,50,145,run,easy
2026-01-14,10,48,145,run,threshold
2026-01-15,10.5,50,145,run,easy
2026-01-16,10.5,50,145,run,easy
2026-01-17,18,86,145,run,long run
2026-01-19,9.8,47,145,run,easy
2026-01-20,9.8,47,145,run,easy
2026-01-21,10,48,145,run,threshold
2026-01-22,9.8,47,145,run,easy
2026-01-23,9.8,47,145,run,easy
2026-01-24,18,86,145,run,long run
2026-01-26,10.2,49,145,run,easy
2026-01-27,10.2,49,145,run,easy
2026-01-28,10,48,145,run,threshold
2026-01-29,10.2,49,145,run,easy
2026-01-30,10.2,49,145,run,easy
2026-01-31,18,86,145,run,long run
2026-02-02,7.5,36,145,run,easy
2026-02-03,7.5,36,145,run,easy
2026-02-04,10,48,145,run,threshold
2026-02-05,7.5,36,145,run,easy
2026-02-06,7.5,36,145,run,easy
2026-02-07,18,86,145,run,long run
2026-02-09,6.8,33,145,run,easy
2026-02-10,6.8,33,145,run,easy
2026-02-11,10,48,145,run,threshold
2026-02-12,6.8,33,145,run,easy
2026-02-13,6.8,33,145,run,easy
2026-02-14,18,86,145,run,long run
2026-02-16,6.5,31,145,run,easy
2026-02-17,6.5,31,145,run,easy
2026-02-18,10,48,145,run,threshold
2026-02-19,6.5,31,145,run,easy
2026-02-20,6.5,31,145,run,easy
2026-02-21,18,86,145,run,long run
2026-02-23,6.0,29,145,run,easy
2026-02-24,6.0,29,145,run,easy
2026-02-25,10,48,145,run,threshold
2026-02-26,6.0,29,145,run,easy
2026-02-27,6.0,29,145,run,easy
2026-02-28,18,86,145,run,long run
