date,distance_km,duration_min,avg_hr,activity_type,workout_type
2026-01-05,12,58,144,run,easy
2026-01-06,14,68,146,run,easy
2026-01-07,10,48,143,run,easy
2026-01-08,12,58,144,run,easy
2026-01-09,14,68,146,run,easy
2026-01-10,10,48,143,run,easy
2026-01-11,20,96,149,run,long
2026-01-12,12,58,144,run,easy
2026-01-13,15,73,147,run,easy
2026-01-14,10,48,143,run,easy
2026-01-15,12,58,144,run,easy
2026-01-16,14,68,146,run,easy
2026-01-17,10,48,143,run,easy
2026-01-18,21,101,150,run,long
2026-01-19,13,63,145,run,easy
2026-01-20,14,68,146,run,easy
2026-01-21,10,48,143,run,easy
2026-01-22,12,58,144,run,easy
2026-01-23,15,73,147,run,easy
2026-01-24,10,48,143,run,easy
2026-01-25,20,96,149,run,long
2026-01-26,12,58,144,run,easy
2026-01-27,14,68,146,run,easy
2026-01-28,11,53,144,run,easy
2026-01-29,12,58,144,run,easy
2026-01-30,14,68,146,run,easy
2026-01-31,10,48,143,run,easy
2026-02-01,21,101,150,run,long
2026-02-02,12,58,144,run,easy
2026-02-03,15,73,147,run,easy
2026-02-04,10,48,143,run,easy
2026-02-05,12,58,144,run,easy
2026-02-06,14,68,146,run,easy
2026-02-07,10,48,143,run,easy
2026-02-08,20,96,149,run,long
2026-02-09,13,63,145,run,easy
2026-02-10,14,68,146,run,easy
2026-02-11,10,48,143,run,easy
2026-02-12,12,58,144,run,easy
2026-02-13,15,73,147,run,easy
2026-02-14,10,48,143,run,easy
2026-02-15,21,101,150,run,long
2026-02-16,12,58,144,run,easy
2026-02-17,14,68,146,run,easy
2026-02-18,11,53,144,run,easy
2026-02-19,12,58,144,run,easy
2026-02-20,14,68,146,run,easy
2026-02-21,10,48,143,run,easy
2026-02-22,20,96,149,run,long
2026-02-23,12,58,144,run,easy
2026-02-24,15,73,147,run,easy
2026-02-25,10,48,143,run,easy
2026-02-26,12,58,144,run,easy
2026-02-27,14,68,146,run,easy
2026-02-28,10,48,143,run,easy
2026-03-01,21,101,150,run,long
