date,distance_km,duration_min,avg_hr,activity_type,workout_type
2026-01-05,6,31,140,run,easy
2026-01-07,8,40,144,run,easy
2026-01-10,9,42,156,run,threshold
2026-01-13,7,35,142,run,easy
2026-01-16,5,26,138,run,easy
2026-01-18,11,55,149,run,long
2026-01-19,6,31,140,run,easy
2026-01-22,8,34,160,run,interval
2026-01-27,7,35,142,run,easy
2026-01-28,6,31,140,run,easy
2026-02-01,12,60,150,run,long
2026-02-02,5,26,138,run,easy
2026-02-06,10,46,157,run,threshold
2026-02-10,6,31,140,run,easy
2026-02-12,8,40,144,run,easy
2026-02-16,7,35,142,run,easy
2026-02-21,8,34,160,run,interval
2026-02-22,12,60,150,run,long
2026-02-25,6,31,140,run,easy
2026-02-27,7,35,142,run,easy
