date,distance_km,avg_pace_min_per_km,session_type
2024-01-01,8.2,5.09,easy
2024-01-02,9.9,3.25,interval
2024-01-03,8.8,4.95,easy
2024-01-04,9.4,3.93,tempo
2024-01-05,7.7,5.08,easy
2024-01-06,5.5,5.05,easy
2024-01-07,5.5,4.33,long
2024-01-08,8.7,4.71,easy
2024-01-09,10.4,3.36,interval
2024-01-10,9.3,4.82,easy
2024-01-11,9.9,3.75,tempo
2024-01-12,8.1,4.62,easy
2024-01-13,5.8,4.62,easy
2024-01-14,5.8,4.33,long
2024-01-15,9.2,4.65,easy
2024-01-16,11.0,3.29,interval
2024-01-17,9.8,4.5,easy
2024-01-18,10.4,3.89,tempo
2024-01-19,8.5,4.52,easy
2024-01-20,6.1,4.87,easy
2024-01-21,6.1,4.43,long
2024-01-22,9.6,5.07,easy
2024-01-23,11.5,3.28,interval
2024-01-24,10.2,4.87,easy
2024-01-25,10.9,3.56,tempo
2024-01-26,9.0,4.76,easy
2024-01-27,6.4,4.72,easy
2024-01-28,6.4,4.46,long
2024-01-29,10.0,4.76,easy
2024-01-30,12.1,3.35,interval
2024-01-31,10.7,5.03,easy
2024-02-01,11.4,3.52,tempo
2024-02-02,9.4,5.09,easy
2024-02-03,6.7,4.92,easy
2024-02-04,6.7,4.36,long
2024-02-05,10.5,4.9,easy
2024-02-06,12.6,3.31,interval
2024-02-07,11.2,4.86,easy
2024-02-08,11.9,3.94,tempo
2024-02-09,9.8,4.79,easy
2024-02-10,7.0,4.7,easy
2024-02-11,7.0,4.47,long
2024-02-12,10.9,4.57,easy
2024-02-13,13.1,3.27,interval
2024-02-14,11.7,5.08,easy
2024-02-15,12.4,3.98,tempo
2024-02-16,10.2,5.09,easy
2024-02-17,7.3,5.09,easy
2024-02-18,7.3,4.46,long
2024-02-19,11.4,4.89,easy
2024-02-20,13.7,3.26,interval
2024-02-21,12.2,4.71,easy
2024-02-22,12.9,3.55,tempo
2024-02-23,10.6,4.82,easy
2024-02-24,7.6,4.6,easy
2024-02-25,7.6,4.43,long
