date,distance_km,duration_min,avg_hr,activity_type,workout_type
2026-02-02,8.2,41,138,run,easy
2026-02-04,10.5,47,154,run,threshold
2026-02-06,7.8,39,140,run,easy
2026-02-08,16.0,78,145,run,long
2026-02-10,8.5,42,139,run,easy
2026-02-12,9.8,44,157,run,threshold
2026-02-14,6.5,31,137,run,easy
2026-02-15,18.0,87,146,run,long
2026-02-17,7.2,36,140,run,easy
2026-02-19,8.9,40,160,run,interval
2026-02-21,7.0,34,138,run,easy
2026-02-22,19.0,92,147,run,long
2026-02-24,8.0,40,141,run,easy
2026-02-26,8.4,39,155,run,threshold
2026-02-28,6.0,30,136,run,easy
2026-03-01,20.0,97,148,run,long
2026-03-03,7.5,38,139,run,easy
2026-03-05,8.7,40,156,run,threshold
2026-03-07,7.2,35,138,run,easy
2026-03-08,21.0,101,149,run,long
2026-03-10,8.4,41,140,run,easy
2026-03-12,7.8,39,154,run,threshold
2026-03-14,6.8,33,137,run,easy
2026-03-15,16.0,79,145,run,long
2026-03-17,7.5,38,140,run,easy
2026-03-19,8.2,41,153,run,threshold
2026-03-21,5.0,18,167,run,interval
2026-03-22,14.0,69,144,run,long
