date,distance_km,duration_min,avg_hr,activity_type,workout_type
2026-01-05,8,34,160,run,interval
2026-01-06,10,45,157,run,threshold
2026-01-07,6,30,141,run,easy
2026-01-08,7,30,161,run,interval
2026-01-09,9,41,158,run,threshold
2026-01-10,6,30,141,run,easy
2026-01-11,12,58,149,run,long
2026-01-12,8,34,160,run,interval
2026-01-13,10,45,157,run,threshold
2026-01-14,6,30,141,run,easy
2026-01-15,7,30,161,run,interval
2026-01-16,9,41,158,run,threshold
2026-01-17,6,30,141,run,easy
2026-01-18,12,58,149,run,long
2026-01-19,9,38,162,run,interval
2026-01-20,10,45,157,run,threshold
2026-01-21,6,30,141,run,easy
2026-01-22,7,30,161,run,interval
2026-01-23,9,41,158,run,threshold
2026-01-24,6,30,141,run,easy
2026-01-25,12,58,149,run,long
2026-01-26,8,34,160,run,interval
2026-01-27,11,50,158,run,threshold
2026-01-28,6,30,141,run,easy
2026-01-29,7,30,161,run,interval
2026-01-30,9,41,158,run,threshold
2026-01-31,6,30,141,run,easy
2026-02-01,12,58,149,run,long
2026-02-02,8,34,160,run,interval
2026-02-03,10,45,157,run,threshold
2026-02-04,6,30,141,run,easy
2026-02-05,7,30,161,run,interval
2026-02-06,10,45,157,run,threshold
2026-02-07,6,30,141,run,easy
2026-02-08,12,58,149,run,long
2026-02-09,9,38,162,run,interval
2026-02-10,10,45,157,run,threshold
2026-02-11,6,30,141,run,easy
2026-02-12,7,30,161,run,interval
2026-02-13,9,41,158,run,threshold
2026-02-14,6,30,141,run,easy
2026-02-15,12,58,149,run,long
2026-02-16,8,34,160,run,interval
2026-02-17,11,50,158,run,threshold
2026-02-18,6,30,141,run,easy
2026-02-19,7,30,161,run,interval
2026-02-20,9,41,158,run,threshold
2026-02-21,6,30,141,run,easy
2026-02-22,12,58,149,run,long
2026-02-23,8,34,160,run,interval
2026-02-24,10,45,157,run,threshold
2026-02-25,6,30,141,run,easy
2026-02-26,7,30,161,run,interval
2026-02-27,10,45,157,run,threshold
2026-02-28,6,30,141,run,easy
2026-03-01,12,58,149,run,long
